Weight, Image, RMSE, MQE, AAR (height/width), AAR min/max of height, MSE, PSNR, SSIM
ALBEDO,TSK,0.011488,9e-05,1.092822,0.737358,1212.6191,17.2936,0.5618
EMISS,SMOIS,0.004171,3.3e-05,1.000025,0.993309,503.7494,21.1087,0.8535
SMOIS,LWUPB,0.010012,7.8e-05,1.060134,0.749869,1273.9526,17.0793,0.6497
PBLH,U10,0.026975,0.00021,1.223559,0.640149,277.7797,23.6938,0.7418
PSFC,Q2,0.003236,2.5e-05,1.000727,0.972509,183.484,25.4948,0.8276
ALBEDO,U10,0.011488,9e-05,1.092822,0.737358,278.4785,23.6829,0.7355
SH2O,ALBEDO,0.013809,0.000107,1.107834,0.696102,2515.5394,14.1245,0.4991
SMOIS,ALBEDO,0.010012,7.8e-05,1.060134,0.749869,2057.0101,14.9984,0.5096
EMISS,PSFC,0.004171,3.3e-05,1.000025,0.993309,184.5696,25.4692,0.8784
PBLH,EMISS,0.026975,0.00021,1.223559,0.640149,1008.3483,18.0947,0.6789
